proc_code	proc_name	proc_group	proc_subgroup		
201010330	BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO)	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010402	BIOPSIA DE PLEURA (POR ASPIRAâíO/AGULHA / PLEUROSCOPIA)	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010534	BIOPSIA ESTEREOTAXICA	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010550	BIOPSIA PRE-ESCALENICA	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
201010577	BIOPSIAS MULTIPLAS P/ ESTADIAMENTO	02 Procedimentos com finalidade diagnóstica	0201 Coleta de material		
209040033	TRAQUEOSCOPIA	02 Procedimentos com finalidade diagnóstica	0209 Diagnóstico por endoscopia		
209040050	VIDEOTORACOSCOPIA	02 Procedimentos com finalidade diagnóstica	0209 Diagnóstico por endoscopia		
211050091	EXPLORACAO DIAGNOSTICA PELO VIDEO-ELETROENCEFALOGRAMA COM OU SEM USO DE ELETRODO DE PROFUNDIDADE	02 Procedimentos com finalidade diagnóstica	0211 Métodos diagnósticos em especialidades		
211050105	POLISSONOGRAFIA	02 Procedimentos com finalidade diagnóstica	0211 Métodos diagnósticos em especialidades		
211050148	TESTE DE WADA	02 Procedimentos com finalidade diagnóstica	0211 Métodos diagnósticos em especialidades		
301050074	INTERNAâíO DOMICILIAR	03 Procedimentos clínicos	0301 Consultas / Atendimentos / Acompanhamentos		
301060010	DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA	03 Procedimentos clínicos	0301 Consultas / Atendimentos / Acompanhamentos		
301060070	DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA	03 Procedimentos clínicos	0301 Consultas / Atendimentos / Acompanhamentos		
301060088	DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA	03 Procedimentos clínicos	0301 Consultas / Atendimentos / Acompanhamentos		
301090017	ATENDIMENTO EM GERIATRIA (1 TURNO)	03 Procedimentos clínicos	0301 Consultas / Atendimentos / Acompanhamentos		
301090025	ATENDIMENTO EM GERIATRIA (2 TURNOS)	03 Procedimentos clínicos	0301 Consultas / Atendimentos / Acompanhamentos		
303010010	TRATAMENTO DE DENGUE CLSSICA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010029	TRATAMENTO DE DENGUE HEMORRGICA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010037	TRATAMENTO DE OUTRAS DOENâAS BACTERIANAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010045	TRATAMENTO DE DOENâAS BACTERIANAS ZOON”TICAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010053	TRATAMENTO DE OUTRAS DOENâAS DEVIDAS A PROTOZORIOS (B55 a B64)	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010061	TRATAMENTO DE DOENâAS INFECCIOSAS E INTESTINAIS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010070	TRATAMENTO DE FEBRES POR ARBOVRUS E FEBRES HEMORRGICAS VIRAIS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010088	TRATAMENTO DE HANSENASE	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010096	TRATAMENTO DE HANTAVIROSE	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010100	TRATAMENTO DE HELMINTASES (B65 a B83)	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010118	TRATAMENTO DE HEPATITES VIRAIS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010126	TRATAMENTO DE INFECâêES DE TRANSMISSíO PREDOMINANTEMENTE SEXUAL (A50 A A64)	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010134	TRATAMENTO DE INFECâêES VIRAIS CARACTERIZADAS POR LESêES DE PELE E MUCOSAS (B00 A B09)	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010142	TRATAMENTO DE INFECâêES VIRAIS DO SISTEMA NERVOSO CENTRAL	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010150	TRATAMENTO DE MALRIA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010169	TRATAMENTO DE MICOSES (B35 A B49)	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010177	TRATAMENTO DE OUTRAS DOENâAS CAUSADAS POR CLAMDIAS(A70 A A74)	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010185	TRATAMENTO DE OUTRAS DOENâAS CAUSADAS POR ESPIROQUETAS (A65 A A69)	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010193	TRATAMENTO DE OUTRAS DOENâAS CAUSADAS POR VRUS (B25 A B34)	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010207	TRATAMENTO DE POLIOMIELITE PARALTICA AGUDA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303010215	TRATAMENTO DE TUBERCULOSE (A15 a A19)	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303020032	TRATAMENTO DE ANEMIA APLASTICA E OUTRAS ANEMIAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303020040	TRATAMENTO DE ANEMIA HEMOLITICA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303020059	TRATAMENTO DE ANEMIAS NUTRICIONAIS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303020067	TRATAMENTO DE DEFEITOS DA COAGULACAO PURPURA E OUTRAS AFECCOES HEMORRAGICAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303020075	TRATAMENTO DE HEMOFILIAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303020083	TRATAMENTO DE OUTRAS DOENCAS DO SANGUE E DOS ORGAOS HEMATOPOETICOS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303030011	TRATAMENTO DA FIBROSE CISTICA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303030020	TRATAMENTO DE DESNUTRICAO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303030038	TRATAMENTO DE DIABETES MELLITUS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303030046	TRATAMENTO DE DISTURBIOS METABOLICOS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303030054	TRATAMENTO DE TRANSTORNOS DA GLANDULA TIREOIDE	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303030062	TRATAMENTO DE TRANSTORNOS DE OUTRAS GLANDULAS ENDOCRINAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040017	AJUSTE MEDICAMENTOSO DE SITUACOES NEUROLOGICAS AGUDIZADAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040025	INTERNACAO P/ O TRATAMENTO MEDICAMENTOSO DA OSTEOGENESIS IMPERFECTA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040033	TRATAMENTO DA MIGRANEA COMPLICADA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040041	TRATAMENTO CLINICO DE ABSCESSO CEREBRAL	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040050	TRATAMENTO CLINICO DE COREIA AGUDA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040068	TRATAMENTO CONSERVADOR DA DOR REBELDE DE ORIGEM CENTRAL OU NEOPLASICA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040076	TRATAMENTO CONSERVADOR DA HEMORRAGIA CEREBRAL	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040084	TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU LEVE)	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040092	TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU MEDIO)	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040106	TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO GRAVE	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040114	TRATAMENTO CONSERVADOR DE TRAUMATISMO RAQUIMEDULAR	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040122	TRATAMENTO CONSERVADOR DE TUMOR DO SISTEMA NERVOSO CENTRAL	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040130	TRATAMENTO CLINICO DAS MIELITES / MIELOPATIAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040149	TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040157	TRATAMENTO DE COMPLICACOES DA HIDROCEFALIA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040165	TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040173	TRATAMENTO DE DISTROFIAS MUSCULARES	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040181	TRATAMENTO DE DOENCA DE PARKINSON	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040190	TRATAMENTO DE DOENCA DOS NEURONIOS MOTORES CENTRAIS C/ OU S/ AMIOTROFIAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040203	TRATAMENTO DE DOENCAS NEURO-DEGENERATIVAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040211	TRATAMENTO DE ENCEFALOPATIA HIPERTENSIVA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040220	TRATAMENTO DE ESCLEROSE GENERALIZADA PROGRESSIVA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040238	TRATAMENTO DE FRATURA DA COLUNA VERTEBRAL C/ LESAO DA MEDULA ESPINHAL	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040246	TRATAMENTO DE INTERCORRENCIAS DE DOENCAS NEUROMUSCULARES	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040254	TRATAMENTO DE MIASTENIA GRAVE	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040262	TRATAMENTO DE POLINEUROPATIAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040270	TRATAMENTO DE POLIRRADICULONEURITE DESMIELINIZANTE AGUDA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040289	TRATAMENTO DE SURTO DE ESCLEROSE MULTIPLA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040297	TRATAMENTO DE PROCESSO TOXI-INFECCIOSO DO CEREBRO OU DA MEDULA ESPINHAL	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303040300	TRATAMENTO DO ACIDENTE VASCULAR CEREBRAL ISQU¾MICO AGUDO COM USO DE TROMBOLTICO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303050136	TRATAMENTO CLNICO DE INTERCORR¾NCIAS OFTALMOL”GICAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303050144	TRATAMENTO CLNICO DE INTERCORR¾NCIAS OFTALMOL”GICAS DE ORIGEM INFECCIOSA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060018	TRATAMENTO DE ANEURISMA DA AORTA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060026	TRATAMENTO DE ARRITMIAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060034	TRATAMENTO DE CARDIOPATIA HIPERTROFICA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060042	TRATAMENTO DE CARDIOPATIA ISQUEMICA CRONICA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060050	TRATAMENTO DE CHOQUE ANAFILATICO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060069	TRATAMENTO DE CHOQUE CARDIOGENICO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060077	TRATAMENTO DE CHOQUE HIPOVOLEMICO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060085	TRATAMENTO DE COMPLICACOES CARDIACAS POS-CIRURGIA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060093	TRATAMENTO DE COMPLICACOES DE DISPOSITIVOS PROTETICOS IMPLANTES E ENXERTOS CARDIACOS E VALVULARES	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060107	TRATAMENTO DE CRISE HIPERTENSIVA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060115	TRATAMENTO DE DOENCA REUMATICA C/ COMPROMETIMENTO CARDIACO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060123	TRATAMENTO DE DOENCA REUMATICA S/ CARDITE	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060131	TRATAMENTO DE EDEMA AGUDO DE PULMAO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060140	TRATAMENTO DE EMBOLIA PULMONAR	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060158	TRATAMENTO DE ENDOCARDITE INFECCIOSA EM PROTESE VALVAR	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060166	TRATAMENTO DE ENDOCARDITE INFECCIOSA EM VALVULA NATIVA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060174	TRATAMENTO DE HIPERTENSAO PULMONAR	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060182	TRATAMENTO DE HIPERTENSAO SECUNDARIA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060190	TRATAMENTO DE INFARTO AGUDO DO MIOCRDIO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060204	TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060212	TRATAMENTO DE INSUFICIENCIA CARDIACA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060220	TRATAMENTO DE LINFADENITES INESPECIFICAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060239	TRATAMENTO DE MIOCARDIOPATIAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060247	TRATAMENTO DE OUTRAS VASCULOPATIAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060255	TRATAMENTO DE PARADA CARDIACA C/ RESSUSCITACAO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060263	TRATAMENTO DE PE DIABETICO COMPLICADO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060271	TRATAMENTO DE PERICARDITE	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060280	TRATAMENTO DE SINDROME CORONARIANA AGUDA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060298	TRATAMENTO DE TROMBOSE VENOSA PROFUNDA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303060301	TRATAMENTO DE VARIZES DOS MEMBROS INFERIORES C/ ULCERA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303070064	TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303070072	TRATAMENTO DE DOENCAS DO FIGADO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303070080	TRATAMENTO DE DOENCAS DO PERITONIO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303070099	TRATAMENTO DE ENTERITES E COLITES NAO INFECCIOSAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303070102	TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303070110	TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303070129	TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303070137	TRATAMENTO DE INTERCORRENCIA CLINICA P”S-CIRURGIA BARIATRICA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303080043	TRATAMENTO DE AFECCOES BOLHOSAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303080051	TRATAMENTO DE DERMATITES E ECZEMAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303080060	TRATAMENTO DE ESTAFILOCOCCIAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303080078	TRATAMENTO DE ESTREPTOCOCCIAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303080086	TRATAMENTO DE FARMACODERMIAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303080094	TRATAMENTO DE OUTRAS AFECCOES DA PELE E DO TECIDO SUBCUTANEO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303090138	TRATAMENTO CONSERVADOR DE FRATURA / LESAO LIGAMENTAR / ARRANCAMENTO OSSEO AO NIVEL DA PELVE	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303090197	TRATAMENTO CONSERVADOR DE FRATURA DOS ANEIS PELVICOS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303090200	TRATAMENTO CONSERVADOR DE FRATURA EM MEMBRO INFERIOR COM IMOBILIZAâíO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303090235	TRATAMENTO CONSERVADOR DE LESAO DA COLUNA TORACO-LOMBO-SACRA C/ ORTESE	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303090243	TRATAMENTO CONSERVADOR DE LESAO DA COLUNA TORACO-LOMBO-SACRA S/ IMOBILIZACAO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303090286	TRATAMENTO CONSERVADOR DE LESíO LIGAMENTAR EM MEMBRO COM IMOBILIZAâíO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303090294	TRATAMENTO CONSERVADOR DE LUMBAGO OU DORSALGIA REFRATARIOS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303090308	TRATAMENTO CONSERVADOR DE OSTEOMIELITE AGUDA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303090316	TRATAMENTO DAS POLIARTROPATIAS INFLAMATORIAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303090324	TRATAMENTO DE ARTRITE REUMATOIDE	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303090332	TRATAMENTO DE DOENCAS SISTEMICAS DO TECIDO CONJUNTIVO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303090340	TRATAMENTO DE ESPONDILITE ANCILOSANTE	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303090359	TRATAMENTO DE OSTEITE	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303090367	TRATAMENTO DE OSTEOPOROSE	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303090375	TRATAMENTO DE OUTRAS DOENCAS OSSEAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303100010	TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303100028	TRATAMENTO DE ECLAMPSIA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303100036	"TRATAMENTO DE EDEMA	 PROTEINURIA E TRANSTORNOS HIPERTENSIVOS NA GRAVIDEZ PARTO E PUERPERIO"""""	03 Procedimentos clínicos	"0303 Tratamentos clínicos (outras especialidades)"""		
303100044	TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303100052	TRATAMENTO DE MOLA HIDATIFORME	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303110015	TRATAMENTO DAS MALFORMACOES E DEFORMIDADES CONGENITAS DO SISTEMA OSTEOMUSCULAR	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303110023	TRATAMENTO DE ANOMALIAS CROMOSSOMICAS NAO CLASSIFICADAS EM OUTRA PARTE	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303110031	TRATAMENTO DE ESPINHA BIFIDA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303110040	TRATAMENTO DE MALFORMACOES CONGENITAS DO APARELHO CIRCULATORIO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303110058	TRATAMENTO DE FENDA LABIAL E/OU FENDA PALATINA	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303110066	TRATAMENTO DE MALFORMACOES CONGENITAS DO APARELHO URINARIO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303110074	TRATAMENTO DE MALFORMACOES CONGENITAS DOS ORGAOS GENITAIS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303110082	TRATAMENTO DE NEUROFIBROMATOSE	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303110090	TRATAMENTO DE OUTRAS ANOMALIAS CONGENITAS DO SISTEMA NERVOSO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303110104	TRATAMENTO DE OUTRAS MALFORMACOES CONGENITAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303110112	TRATAMENTO DE OUTRAS MALFORMACOES CONGENITAS DO APARELHO DIGESTIVO	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303120010	IODOTERAPIA DE CARCIOMA DIFERENCIADO DA TIREOIDE (250 MCI)	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303130016	ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS DEVIDO A CAUSAS EXTERNAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303130024	ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES CARDIOVASCULARES	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303130032	ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES PNEUMOLOGICAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303130040	TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES DECORRENTES DA AIDS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303130059	TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES NEUROLOGICAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303130067	TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES ONCOLOGICAS	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303130075	TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES OSTEOMUSCULARES E DO TECIDO CONJUNT	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303130083	TRATAMENTO DE PACIENTES SOB CUIDADOS PROLONGADOS EM HANSENIASE	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303140020	TRATAMENTO DA FIBROSE CISTICA COM MANIFESTACOES PULMONARES	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
303140038	TRATAMENTO DAS AFECCOES NECROTICAS E SUPURATIVAS DAS VIAS AEREAS INFERIORES	03 Procedimentos clínicos	0303 Tratamentos clínicos (outras especialidades)		
